epoch: 0, train loss: 2.7314, train accuracy: 11.1%, valid accuracy: 7.0%, time: 2022-11-21 17:38:38
epoch: 1, train loss: 2.6776, train accuracy: 11.4%, valid accuracy: 7.0%, time: 2022-11-21 17:41:39
epoch: 2, train loss: 2.6537, train accuracy: 12.0%, valid accuracy: 5.0%, time: 2022-11-21 17:44:39
epoch: 3, train loss: 2.6428, train accuracy: 13.1%, valid accuracy: 9.0%, time: 2022-11-21 17:47:38
epoch: 4, train loss: 2.5913, train accuracy: 14.8%, valid accuracy: 10.0%, time: 2022-11-21 17:50:36
epoch: 5, train loss: 2.5396, train accuracy: 17.6%, valid accuracy: 16.0%, time: 2022-11-21 17:53:34
epoch: 6, train loss: 2.4426, train accuracy: 21.2%, valid accuracy: 16.0%, time: 2022-11-21 17:56:33
epoch: 7, train loss: 2.2948, train accuracy: 26.6%, valid accuracy: 15.0%, time: 2022-11-21 17:59:31
epoch: 8, train loss: 2.0668, train accuracy: 34.6%, valid accuracy: 15.0%, time: 2022-11-21 18:02:33
epoch: 9, train loss: 1.7761, train accuracy: 43.3%, valid accuracy: 14.0%, time: 2022-11-21 18:05:36
epoch: 10, train loss: 1.5261, train accuracy: 52.5%, valid accuracy: 13.0%, time: 2022-11-21 18:08:42
epoch: 11, train loss: 1.282, train accuracy: 61.4%, valid accuracy: 12.0%, time: 2022-11-21 18:11:55
epoch: 12, train loss: 0.9031, train accuracy: 72.8%, valid accuracy: 12.0%, time: 2022-11-21 18:15:09
epoch: 13, train loss: 0.6219, train accuracy: 81.6%, valid accuracy: 15.0%, time: 2022-11-21 18:18:20
epoch: 14, train loss: 0.5134, train accuracy: 84.4%, valid accuracy: 13.0%, time: 2022-11-21 18:21:25
epoch: 15, train loss: 0.3687, train accuracy: 89.6%, valid accuracy: 10.0%, time: 2022-11-21 18:24:34
epoch: 16, train loss: 0.2343, train accuracy: 93.5%, valid accuracy: 16.0%, time: 2022-11-21 18:27:40
epoch: 17, train loss: 0.1865, train accuracy: 94.4%, valid accuracy: 14.0%, time: 2022-11-21 18:30:52
epoch: 18, train loss: 0.1973, train accuracy: 94.3%, valid accuracy: 8.0%, time: 2022-11-21 18:34:01
epoch: 19, train loss: 0.2076, train accuracy: 93.6%, valid accuracy: 11.0%, time: 2022-11-21 18:37:12
epoch: 20, train loss: 0.2369, train accuracy: 93.4%, valid accuracy: 11.0%, time: 2022-11-21 18:40:19
