epoch: 0, train loss: 2.7506, train accuracy: 8.4%, valid accuracy: 13.0%, time: 2022-11-21 23:08:46
epoch: 1, train loss: 2.7031, train accuracy: 12.4%, valid accuracy: 12.0%, time: 2022-11-21 23:10:34
epoch: 2, train loss: 2.6796, train accuracy: 13.4%, valid accuracy: 12.0%, time: 2022-11-21 23:12:20
epoch: 3, train loss: 2.6663, train accuracy: 13.0%, valid accuracy: 12.0%, time: 2022-11-21 23:14:05
epoch: 4, train loss: 2.6574, train accuracy: 13.0%, valid accuracy: 12.0%, time: 2022-11-21 23:15:53
epoch: 5, train loss: 2.6464, train accuracy: 12.4%, valid accuracy: 13.0%, time: 2022-11-21 23:17:41
epoch: 6, train loss: 2.6244, train accuracy: 14.6%, valid accuracy: 12.0%, time: 2022-11-21 23:19:26
epoch: 7, train loss: 2.5781, train accuracy: 18.2%, valid accuracy: 11.0%, time: 2022-11-21 23:21:21
epoch: 8, train loss: 2.5582, train accuracy: 18.4%, valid accuracy: 11.0%, time: 2022-11-21 23:23:14
epoch: 9, train loss: 2.4992, train accuracy: 22.2%, valid accuracy: 8.0%, time: 2022-11-21 23:25:15
epoch: 10, train loss: 2.4051, train accuracy: 24.0%, valid accuracy: 9.0%, time: 2022-11-21 23:27:10
epoch: 11, train loss: 2.3123, train accuracy: 29.4%, valid accuracy: 9.0%, time: 2022-11-21 23:28:57
epoch: 12, train loss: 2.2513, train accuracy: 27.4%, valid accuracy: 6.0%, time: 2022-11-21 23:30:45
epoch: 13, train loss: 2.1374, train accuracy: 30.6%, valid accuracy: 7.0%, time: 2022-11-21 23:32:34
epoch: 14, train loss: 1.9623, train accuracy: 39.6%, valid accuracy: 8.0%, time: 2022-11-21 23:34:22
epoch: 15, train loss: 1.8138, train accuracy: 43.0%, valid accuracy: 8.0%, time: 2022-11-21 23:36:09
epoch: 16, train loss: 1.6798, train accuracy: 46.4%, valid accuracy: 7.0%, time: 2022-11-21 23:37:55
epoch: 17, train loss: 1.554, train accuracy: 49.2%, valid accuracy: 6.0%, time: 2022-11-21 23:39:46
epoch: 18, train loss: 1.5203, train accuracy: 51.2%, valid accuracy: 10.0%, time: 2022-11-21 23:41:40
epoch: 19, train loss: 1.4884, train accuracy: 50.8%, valid accuracy: 7.0%, time: 2022-11-21 23:43:27



