===================================================BERT==================================================
epoch: 0, train loss: 2.6424, train accuracy: 11.44%, valid accuracy: 14.00%, time: 2022-11-19 22:35:46
epoch: 1, train loss: 2.5428, train accuracy: 15.50%, valid accuracy: 17.00%, time: 2022-11-19 22:56:25
epoch: 2, train loss: 2.4265, train accuracy: 19.86%, valid accuracy: 16.00%, time: 2022-11-19 23:18:43
epoch: 3, train loss: 2.2435, train accuracy: 26.20%, valid accuracy: 16.50%, time: 2022-11-19 23:35:59
epoch: 4, train loss: 1.9708, train accuracy: 35.82%, valid accuracy: 21.00%, time: 2022-11-19 23:51:01
epoch: 5, train loss: 1.6345, train accuracy: 45.42%, valid accuracy: 27.00%, time: 2022-11-20 00:06:27
epoch: 6, train loss: 1.2367, train accuracy: 60.08%, valid accuracy: 28.00%, time: 2022-11-20 00:22:10
epoch: 19, train loss: 0.0545, train accuracy: 98.52%, valid accuracy: 35.00%, time: 2022-11-20 03:38:19
epoch: 20, train loss: 0.0665, train accuracy: 98.08%, valid accuracy: 29.50%, time: 2022-11-20 03:53:30
epoch: 21, train loss: 0.0420, train accuracy: 98.82%, valid accuracy: 36.50%, time: 2022-11-20 04:08:41
epoch: 22, train loss: 0.0585, train accuracy: 98.16%, valid accuracy: 33.00%, time: 2022-11-20 04:23:57
epoch: 23, train loss: 0.0735, train accuracy: 98.02%, valid accuracy: 32.00%, time: 2022-11-20 04:39:12
epoch: 24, train loss: 0.0713, train accuracy: 97.98%, valid accuracy: 34.50%, time: 2022-11-20 04:54:36
epoch: 25, train loss: 0.0667, train accuracy: 97.90%, valid accuracy: 31.50%, time: 2022-11-20 05:10:06
epoch: 26, train loss: 0.0873, train accuracy: 97.46%, valid accuracy: 30.50%, time: 2022-11-20 05:25:23
epoch: 27, train loss: 0.1475, train accuracy: 95.62%, valid accuracy: 32.50%, time: 2022-11-20 05:40:43
epoch: 28, train loss: 0.0645, train accuracy: 97.96%, valid accuracy: 34.00%, time: 2022-11-20 05:56:03
epoch: 29, train loss: 0.0693, train accuracy: 98.04%, valid accuracy: 35.00%, time: 2022-11-20 06:11:25
epoch: 30, train loss: 0.0631, train accuracy: 98.16%, valid accuracy: 33.00%, time: 2022-11-20 06:26:43
epoch: 31, train loss: 0.0518, train accuracy: 98.52%, valid accuracy: 34.50%, time: 2022-11-20 06:42:05
epoch: 32, train loss: 0.0550, train accuracy: 98.36%, valid accuracy: 33.00%, time: 2022-11-20 06:57:29
epoch: 33, train loss: 0.0423, train accuracy: 98.92%, valid accuracy: 39.00%, time: 2022-11-20 07:12:50
epoch: 34, train loss: 0.0405, train accuracy: 98.80%, valid accuracy: 33.50%, time: 2022-11-20 07:28:12
epoch: 35, train loss: 0.0305, train accuracy: 99.14%, valid accuracy: 32.50%, time: 2022-11-20 07:43:36
epoch: 36, train loss: 0.0392, train accuracy: 98.62%, valid accuracy: 30.50%, time: 2022-11-20 07:59:02
epoch: 37, train loss: 0.0494, train accuracy: 98.42%, valid accuracy: 32.00%, time: 2022-11-20 08:14:26
epoch: 38, train loss: 0.0625, train accuracy: 98.30%, valid accuracy: 35.00%, time: 2022-11-20 08:29:50
epoch: 39, train loss: 0.0467, train accuracy: 98.66%, valid accuracy: 33.00%, time: 2022-11-20 08:45:16
