epoch: 0, train loss: 2.8011, train accuracy: 11.12%, valid accuracy: 11.0%, time: 2022-11-19 11:04:15
epoch: 1, train loss: 2.7895, train accuracy: 12.0%, valid accuracy: 11.0%, time: 2022-11-19 11:04:18
epoch: 2, train loss: 2.7912, train accuracy: 8.62%, valid accuracy: 11.0%, time: 2022-11-19 11:04:20
epoch: 3, train loss: 2.7838, train accuracy: 12.0%, valid accuracy: 11.0%, time: 2022-11-19 11:04:22
epoch: 4, train loss: 2.7802, train accuracy: 12.0%, valid accuracy: 11.0%, time: 2022-11-19 11:04:25
epoch: 5, train loss: 2.7568, train accuracy: 16.25%, valid accuracy: 12.0%, time: 2022-11-19 11:04:27
epoch: 6, train loss: 2.7302, train accuracy: 18.13%, valid accuracy: 14.5%, time: 2022-11-19 11:04:29
epoch: 7, train loss: 2.7161, train accuracy: 19.25%, valid accuracy: 18.0%, time: 2022-11-19 11:04:32
epoch: 8, train loss: 2.6915, train accuracy: 24.0%, valid accuracy: 16.0%, time: 2022-11-19 11:04:34
epoch: 9, train loss: 2.6646, train accuracy: 24.25%, valid accuracy: 21.0%, time: 2022-11-19 11:04:37
epoch: 10, train loss: 2.6309, train accuracy: 30.13%, valid accuracy: 26.0%, time: 2022-11-19 11:04:39
epoch: 11, train loss: 2.5979, train accuracy: 33.0%, valid accuracy: 28.0%, time: 2022-11-19 11:04:41
epoch: 12, train loss: 2.5683, train accuracy: 35.25%, valid accuracy: 26.0%, time: 2022-11-19 11:04:44
epoch: 13, train loss: 2.5452, train accuracy: 37.13%, valid accuracy: 21.5%, time: 2022-11-19 11:04:47
epoch: 14, train loss: 2.5234, train accuracy: 40.75%, valid accuracy: 26.0%, time: 2022-11-19 11:04:49
epoch: 15, train loss: 2.4885, train accuracy: 43.5%, valid accuracy: 29.5%, time: 2022-11-19 11:04:52
epoch: 16, train loss: 2.4582, train accuracy: 46.75%, valid accuracy: 23.5%, time: 2022-11-19 11:04:55
epoch: 17, train loss: 2.44, train accuracy: 48.5%, valid accuracy: 28.0%, time: 2022-11-19 11:04:57
epoch: 18, train loss: 2.4432, train accuracy: 48.0%, valid accuracy: 24.0%, time: 2022-11-19 11:05:00
