epoch: 0, train loss: 2.8441, train accuracy: 8.7%, valid accuracy: 10.0%, time: 2022-11-21 10:45:08
epoch: 1, train loss: 2.7075, train accuracy: 9.9%, valid accuracy: 5.0%, time: 2022-11-21 10:45:26
epoch: 2, train loss: 2.659, train accuracy: 13.8%, valid accuracy: 12.0%, time: 2022-11-21 10:45:42
epoch: 3, train loss: 2.6134, train accuracy: 13.3%, valid accuracy: 9.0%, time: 2022-11-21 10:45:58
epoch: 4, train loss: 2.6025, train accuracy: 14.5%, valid accuracy: 11.0%, time: 2022-11-21 10:46:14
epoch: 5, train loss: 2.5669, train accuracy: 16.5%, valid accuracy: 15.0%, time: 2022-11-21 10:46:30
epoch: 6, train loss: 2.5344, train accuracy: 16.7%, valid accuracy: 15.0%, time: 2022-11-21 10:46:46
epoch: 7, train loss: 2.4882, train accuracy: 19.9%, valid accuracy: 16.0%, time: 2022-11-21 10:47:03
epoch: 8, train loss: 2.4449, train accuracy: 21.6%, valid accuracy: 13.0%, time: 2022-11-21 10:47:19
epoch: 9, train loss: 2.4461, train accuracy: 22.5%, valid accuracy: 13.0%, time: 2022-11-21 10:47:35
epoch: 10, train loss: 2.3863, train accuracy: 24.8%, valid accuracy: 17.0%, time: 2022-11-21 10:47:51
epoch: 11, train loss: 2.336, train accuracy: 29.0%, valid accuracy: 13.0%, time: 2022-11-21 10:48:07
epoch: 12, train loss: 2.2806, train accuracy: 28.2%, valid accuracy: 17.0%, time: 2022-11-21 10:48:24
epoch: 13, train loss: 2.24, train accuracy: 32.3%, valid accuracy: 14.0%, time: 2022-11-21 10:48:40
epoch: 14, train loss: 2.1639, train accuracy: 34.7%, valid accuracy: 17.0%, time: 2022-11-21 10:48:57
epoch: 15, train loss: 2.0996, train accuracy: 38.5%, valid accuracy: 20.0%, time: 2022-11-21 10:49:13
epoch: 16, train loss: 2.0435, train accuracy: 40.1%, valid accuracy: 18.0%, time: 2022-11-21 10:49:29
epoch: 17, train loss: 1.9781, train accuracy: 42.7%, valid accuracy: 19.0%, time: 2022-11-21 10:49:46
epoch: 18, train loss: 1.895, train accuracy: 46.5%, valid accuracy: 19.0%, time: 2022-11-21 10:50:02
epoch: 19, train loss: 1.8397, train accuracy: 49.9%, valid accuracy: 22.0%, time: 2022-11-21 10:50:19
epoch: 20, train loss: 1.7578, train accuracy: 50.5%, valid accuracy: 26.0%, time: 2022-11-21 10:50:35
epoch: 21, train loss: 1.6981, train accuracy: 54.0%, valid accuracy: 27.0%, time: 2022-11-21 10:50:52
epoch: 22, train loss: 1.6331, train accuracy: 55.9%, valid accuracy: 26.0%, time: 2022-11-21 10:51:09
epoch: 23, train loss: 1.5681, train accuracy: 58.9%, valid accuracy: 28.0%, time: 2022-11-21 10:51:25
epoch: 24, train loss: 1.5027, train accuracy: 59.5%, valid accuracy: 28.0%, time: 2022-11-21 10:51:42
epoch: 25, train loss: 1.4603, train accuracy: 62.0%, valid accuracy: 27.0%, time: 2022-11-21 10:51:58
epoch: 26, train loss: 1.4155, train accuracy: 62.7%, valid accuracy: 32.0%, time: 2022-11-21 10:52:15
epoch: 27, train loss: 1.3851, train accuracy: 65.1%, valid accuracy: 35.0%, time: 2022-11-21 10:52:31
epoch: 28, train loss: 1.3048, train accuracy: 67.8%, valid accuracy: 31.0%, time: 2022-11-21 10:52:48
epoch: 29, train loss: 1.2842, train accuracy: 68.1%, valid accuracy: 31.0%, time: 2022-11-21 10:53:05
epoch: 30, train loss: 1.2242, train accuracy: 71.0%, valid accuracy: 30.0%, time: 2022-11-21 10:53:21
epoch: 31, train loss: 1.1873, train accuracy: 71.2%, valid accuracy: 33.0%, time: 2022-11-21 10:53:38
epoch: 32, train loss: 1.1511, train accuracy: 74.4%, valid accuracy: 36.0%, time: 2022-11-21 10:53:55
epoch: 33, train loss: 1.1404, train accuracy: 72.2%, valid accuracy: 34.0%, time: 2022-11-21 10:54:11
epoch: 34, train loss: 1.1067, train accuracy: 74.0%, valid accuracy: 35.0%, time: 2022-11-21 10:54:28
epoch: 35, train loss: 1.0687, train accuracy: 74.0%, valid accuracy: 37.0%, time: 2022-11-21 10:54:44
epoch: 36, train loss: 1.0375, train accuracy: 75.3%, valid accuracy: 36.0%, time: 2022-11-21 10:55:02
epoch: 37, train loss: 1.0035, train accuracy: 78.3%, valid accuracy: 29.0%, time: 2022-11-21 10:55:18
epoch: 38, train loss: 0.9623, train accuracy: 76.6%, valid accuracy: 29.0%, time: 2022-11-21 10:55:35
epoch: 39, train loss: 0.9515, train accuracy: 79.1%, valid accuracy: 33.0%, time: 2022-11-21 10:55:53
epoch: 40, train loss: 0.8837, train accuracy: 81.6%, valid accuracy: 36.0%, time: 2022-11-21 10:56:09
epoch: 41, train loss: 0.9122, train accuracy: 79.2%, valid accuracy: 40.0%, time: 2022-11-21 10:56:26
epoch: 42, train loss: 0.8596, train accuracy: 82.5%, valid accuracy: 38.0%, time: 2022-11-21 10:56:42
epoch: 43, train loss: 0.8313, train accuracy: 82.6%, valid accuracy: 35.0%, time: 2022-11-21 10:56:58
epoch: 44, train loss: 0.8262, train accuracy: 82.6%, valid accuracy: 34.0%, time: 2022-11-21 10:57:15
epoch: 45, train loss: 0.7881, train accuracy: 85.1%, valid accuracy: 35.0%, time: 2022-11-21 10:57:31
epoch: 46, train loss: 0.7714, train accuracy: 84.9%, valid accuracy: 28.0%, time: 2022-11-21 10:57:47
epoch: 47, train loss: 0.7505, train accuracy: 84.3%, valid accuracy: 33.0%, time: 2022-11-21 10:58:03
epoch: 48, train loss: 0.7129, train accuracy: 85.8%, valid accuracy: 34.0%, time: 2022-11-21 10:58:20
epoch: 49, train loss: 0.7074, train accuracy: 86.9%, valid accuracy: 34.0%, time: 2022-11-21 10:58:37
epoch: 50, train loss: 0.7004, train accuracy: 86.3%, valid accuracy: 35.0%, time: 2022-11-21 10:58:54
epoch: 51, train loss: 0.7023, train accuracy: 85.3%, valid accuracy: 36.0%, time: 2022-11-21 10:59:10
epoch: 52, train loss: 0.6685, train accuracy: 87.1%, valid accuracy: 36.0%, time: 2022-11-21 10:59:26
epoch: 53, train loss: 0.6415, train accuracy: 88.1%, valid accuracy: 36.0%, time: 2022-11-21 10:59:42
epoch: 54, train loss: 0.6163, train accuracy: 88.7%, valid accuracy: 31.0%, time: 2022-11-21 10:59:58
epoch: 55, train loss: 0.6136, train accuracy: 88.3%, valid accuracy: 33.0%, time: 2022-11-21 11:00:14
epoch: 56, train loss: 0.5887, train accuracy: 89.5%, valid accuracy: 31.0%, time: 2022-11-21 11:00:33
epoch: 57, train loss: 0.5673, train accuracy: 89.7%, valid accuracy: 35.0%, time: 2022-11-21 11:00:50
epoch: 58, train loss: 0.5427, train accuracy: 91.5%, valid accuracy: 32.0%, time: 2022-11-21 11:01:06
epoch: 59, train loss: 0.5205, train accuracy: 92.2%, valid accuracy: 32.0%, time: 2022-11-21 11:01:22
epoch: 60, train loss: 0.524, train accuracy: 92.4%, valid accuracy: 29.0%, time: 2022-11-21 11:01:38
epoch: 61, train loss: 0.5075, train accuracy: 91.8%, valid accuracy: 33.0%, time: 2022-11-21 11:01:54
epoch: 62, train loss: 0.4796, train accuracy: 92.9%, valid accuracy: 31.0%, time: 2022-11-21 11:02:11
epoch: 63, train loss: 0.4713, train accuracy: 93.0%, valid accuracy: 35.0%, time: 2022-11-21 11:02:27
epoch: 64, train loss: 0.477, train accuracy: 91.6%, valid accuracy: 33.0%, time: 2022-11-21 11:02:44
epoch: 65, train loss: 0.4371, train accuracy: 93.7%, valid accuracy: 37.0%, time: 2022-11-21 11:03:01
epoch: 66, train loss: 0.452, train accuracy: 93.3%, valid accuracy: 36.0%, time: 2022-11-21 11:03:19
epoch: 67, train loss: 0.4149, train accuracy: 94.4%, valid accuracy: 36.0%, time: 2022-11-21 11:03:36
epoch: 68, train loss: 0.416, train accuracy: 95.0%, valid accuracy: 38.0%, time: 2022-11-21 11:03:54
epoch: 69, train loss: 0.431, train accuracy: 93.2%, valid accuracy: 35.0%, time: 2022-11-21 11:04:11
