epoch: 0, train loss: 5.7218, train accuracy: 7.8%, valid accuracy: 6.0%, time: 2022-11-19 16:51:34
epoch: 1, train loss: 4.1801, train accuracy: 13.6%, valid accuracy: 7.0%, time: 2022-11-19 16:51:37
epoch: 2, train loss: 3.0915, train accuracy: 14.2%, valid accuracy: 7.0%, time: 2022-11-19 16:51:39
epoch: 3, train loss: 2.6483, train accuracy: 20.6%, valid accuracy: 14.0%, time: 2022-11-19 16:51:42
epoch: 4, train loss: 2.1435, train accuracy: 32.6%, valid accuracy: 9.0%, time: 2022-11-19 16:51:44
epoch: 5, train loss: 1.8035, train accuracy: 46.2%, valid accuracy: 13.0%, time: 2022-11-19 16:51:47
epoch: 6, train loss: 1.3784, train accuracy: 62.4%, valid accuracy: 16.0%, time: 2022-11-19 16:51:50
epoch: 7, train loss: 0.9618, train accuracy: 79.8%, valid accuracy: 18.0%, time: 2022-11-19 16:51:53
epoch: 8, train loss: 0.7074, train accuracy: 85.0%, valid accuracy: 20.0%, time: 2022-11-19 16:51:56
epoch: 9, train loss: 0.4927, train accuracy: 92.2%, valid accuracy: 17.0%, time: 2022-11-19 16:51:59
epoch: 10, train loss: 0.3469, train accuracy: 96.8%, valid accuracy: 18.0%, time: 2022-11-19 16:52:02
epoch: 11, train loss: 0.2503, train accuracy: 97.8%, valid accuracy: 19.0%, time: 2022-11-19 16:52:05
epoch: 12, train loss: 0.1951, train accuracy: 99.6%, valid accuracy: 20.0%, time: 2022-11-19 16:52:08
epoch: 13, train loss: 0.1406, train accuracy: 99.4%, valid accuracy: 23.0%, time: 2022-11-19 16:52:11
epoch: 14, train loss: 0.1065, train accuracy: 100.0%, valid accuracy: 26.0%, time: 2022-11-19 16:52:14
epoch: 15, train loss: 0.0855, train accuracy: 99.2%, valid accuracy: 17.0%, time: 2022-11-19 16:52:17
epoch: 16, train loss: 0.0624, train accuracy: 100.0%, valid accuracy: 25.0%, time: 2022-11-19 16:52:20
epoch: 17, train loss: 0.0531, train accuracy: 100.0%, valid accuracy: 19.0%, time: 2022-11-19 16:52:23
epoch: 18, train loss: 0.0496, train accuracy: 100.0%, valid accuracy: 21.0%, time: 2022-11-19 16:52:26
epoch: 19, train loss: 0.0442, train accuracy: 100.0%, valid accuracy: 24.0%, time: 2022-11-19 16:52:29
epoch: 20, train loss: 0.0383, train accuracy: 100.0%, valid accuracy: 17.0%, time: 2022-11-19 16:52:32
epoch: 21, train loss: 0.0372, train accuracy: 100.0%, valid accuracy: 25.0%, time: 2022-11-19 16:52:34
epoch: 22, train loss: 0.0324, train accuracy: 100.0%, valid accuracy: 26.0%, time: 2022-11-19 16:52:37
epoch: 23, train loss: 0.0322, train accuracy: 100.0%, valid accuracy: 26.0%, time: 2022-11-19 16:52:40
epoch: 24, train loss: 0.0293, train accuracy: 100.0%, valid accuracy: 21.0%, time: 2022-11-19 16:52:43
epoch: 25, train loss: 0.0272, train accuracy: 100.0%, valid accuracy: 23.0%, time: 2022-11-19 16:52:46
epoch: 26, train loss: 0.0265, train accuracy: 100.0%, valid accuracy: 28.0%, time: 2022-11-19 16:52:49
epoch: 27, train loss: 0.0232, train accuracy: 100.0%, valid accuracy: 26.0%, time: 2022-11-19 16:52:52
epoch: 28, train loss: 0.0217, train accuracy: 100.0%, valid accuracy: 25.0%, time: 2022-11-19 16:52:55
epoch: 29, train loss: 0.0235, train accuracy: 100.0%, valid accuracy: 19.0%, time: 2022-11-19 16:52:58
epoch: 30, train loss: 0.0259, train accuracy: 100.0%, valid accuracy: 29.0%, time: 2022-11-19 16:53:01
epoch: 31, train loss: 0.0273, train accuracy: 100.0%, valid accuracy: 20.0%, time: 2022-11-19 16:53:04
epoch: 32, train loss: 0.0324, train accuracy: 100.0%, valid accuracy: 25.0%, time: 2022-11-19 16:53:07
epoch: 33, train loss: 0.0303, train accuracy: 100.0%, valid accuracy: 22.0%, time: 2022-11-19 16:53:10
epoch: 34, train loss: 0.0326, train accuracy: 100.0%, valid accuracy: 26.0%, time: 2022-11-19 16:53:13
epoch: 35, train loss: 0.0293, train accuracy: 100.0%, valid accuracy: 23.0%, time: 2022-11-19 16:53:15
epoch: 36, train loss: 0.0402, train accuracy: 100.0%, valid accuracy: 24.0%, time: 2022-11-19 16:53:18
epoch: 37, train loss: 0.0519, train accuracy: 99.8%, valid accuracy: 21.0%, time: 2022-11-19 16:53:21
epoch: 38, train loss: 0.0393, train accuracy: 99.8%, valid accuracy: 19.0%, time: 2022-11-19 16:53:24
epoch: 39, train loss: 0.0349, train accuracy: 100.0%, valid accuracy: 23.0%, time: 2022-11-19 16:53:27
epoch: 40, train loss: 0.0314, train accuracy: 100.0%, valid accuracy: 20.0%, time: 2022-11-19 16:53:30
epoch: 41, train loss: 0.0352, train accuracy: 99.8%, valid accuracy: 24.0%, time: 2022-11-19 16:53:33
epoch: 42, train loss: 0.0401, train accuracy: 100.0%, valid accuracy: 19.0%, time: 2022-11-19 16:53:36
epoch: 43, train loss: 0.0481, train accuracy: 99.2%, valid accuracy: 25.0%, time: 2022-11-19 16:53:39
epoch: 44, train loss: 0.0345, train accuracy: 100.0%, valid accuracy: 17.0%, time: 2022-11-19 16:53:41
epoch: 45, train loss: 0.035, train accuracy: 99.6%, valid accuracy: 19.0%, time: 2022-11-19 16:53:44
epoch: 46, train loss: 0.0386, train accuracy: 99.6%, valid accuracy: 21.0%, time: 2022-11-19 16:53:47
epoch: 47, train loss: 0.044, train accuracy: 99.6%, valid accuracy: 22.0%, time: 2022-11-19 16:53:50
epoch: 48, train loss: 0.0417, train accuracy: 99.4%, valid accuracy: 20.0%, time: 2022-11-19 16:53:53
epoch: 49, train loss: 0.0343, train accuracy: 100.0%, valid accuracy: 20.0%, time: 2022-11-19 16:53:56
epoch: 50, train loss: 0.0258, train accuracy: 100.0%, valid accuracy: 23.0%, time: 2022-11-19 16:53:59
epoch: 51, train loss: 0.0279, train accuracy: 99.8%, valid accuracy: 23.0%, time: 2022-11-19 16:54:02
epoch: 52, train loss: 0.0274, train accuracy: 99.8%, valid accuracy: 22.0%, time: 2022-11-19 16:54:05
epoch: 53, train loss: 0.0219, train accuracy: 100.0%, valid accuracy: 19.0%, time: 2022-11-19 16:54:08
epoch: 54, train loss: 0.0325, train accuracy: 99.6%, valid accuracy: 27.0%, time: 2022-11-19 16:54:10
epoch: 55, train loss: 0.028, train accuracy: 100.0%, valid accuracy: 22.0%, time: 2022-11-19 16:54:13
epoch: 56, train loss: 0.0291, train accuracy: 99.8%, valid accuracy: 22.0%, time: 2022-11-19 16:54:16
epoch: 57, train loss: 0.0198, train accuracy: 100.0%, valid accuracy: 24.0%, time: 2022-11-19 16:54:19
epoch: 58, train loss: 0.0218, train accuracy: 100.0%, valid accuracy: 20.0%, time: 2022-11-19 16:54:22
epoch: 59, train loss: 0.0194, train accuracy: 99.8%, valid accuracy: 25.0%, time: 2022-11-19 16:54:25
epoch: 60, train loss: 0.0317, train accuracy: 99.4%, valid accuracy: 14.0%, time: 2022-11-19 16:54:28
epoch: 61, train loss: 0.027, train accuracy: 100.0%, valid accuracy: 21.0%, time: 2022-11-19 16:54:31
epoch: 62, train loss: 0.0268, train accuracy: 99.8%, valid accuracy: 21.0%, time: 2022-11-19 16:54:34
epoch: 63, train loss: 0.0256, train accuracy: 100.0%, valid accuracy: 24.0%, time: 2022-11-19 16:54:37
epoch: 64, train loss: 0.0259, train accuracy: 99.8%, valid accuracy: 20.0%, time: 2022-11-19 16:54:39
epoch: 65, train loss: 0.0214, train accuracy: 100.0%, valid accuracy: 24.0%, time: 2022-11-19 16:54:42
epoch: 66, train loss: 0.0201, train accuracy: 99.8%, valid accuracy: 21.0%, time: 2022-11-19 16:54:45
epoch: 67, train loss: 0.0185, train accuracy: 100.0%, valid accuracy: 25.0%, time: 2022-11-19 16:54:48
